ctr,country,cultural dimension,Value
HOK,Hong Kong,ivr,17
HOK,Hong Kong,ltowvs,61
HOK,Hong Kong,mas,57
HOK,Hong Kong,pdi,68
HOK,Hong Kong,uai,29
HUN,Hungary,idv,80
HUN,Hungary,ivr,31
HUN,Hungary,ltowvs,58
HUN,Hungary,mas,88
HUN,Hungary,pdi,46
HUN,Hungary,uai,82
ICE,Iceland,idv,83
ICE,Iceland,ivr,67
ICE,Iceland,ltowvs,28
ICE,Iceland,mas,10
ICE,Iceland,pdi,30
ICE,Iceland,uai,50
IDO,Indonesia,idv,14
IDO,Indonesia,ivr,38
IDO,Indonesia,ltowvs,62
IDO,Indonesia,mas,46
IDO,Indonesia,pdi,78
IDO,Indonesia,uai,48
IND,India,idv,48
IND,India,ivr,26
IND,India,ltowvs,51
IND,India,mas,56
IND,India,pdi,77
IND,India,uai,40
IRA,Iran,idv,41
IRA,Iran,ivr,40
IRA,Iran,ltowvs,14
IRA,Iran,mas,43
IRA,Iran,pdi,58
IRA,Iran,uai,59
IRE,Ireland,idv,70
IRE,Ireland,ivr,65
IRE,Ireland,ltowvs,24
IRE,Ireland,mas,68
IRE,Ireland,pdi,28
IRE,Ireland,uai,35
IRQ,Iraq,idv,25
IRQ,Iraq,ivr,17
IRQ,Iraq,ltowvs,25
IRQ,Iraq,mas,53
IRQ,Iraq,pdi,97
IRQ,Iraq,uai,96
ITA,Italy,idv,76
ITA,Italy,ivr,30
ITA,Italy,ltowvs,61
ITA,Italy,mas,70
ITA,Italy,pdi,50
ITA,Italy,uai,75
JOR,Jordan,idv,20
JOR,Jordan,ivr,43
JOR,Jordan,ltowvs,16
JOR,Jordan,mas,45
JOR,Jordan,pdi,70
JOR,Jordan,uai,65
JPN,Japan,idv,46
JPN,Japan,ivr,42
JPN,Japan,ltowvs,88
JPN,Japan,mas,95
JPN,Japan,pdi,54
JPN,Japan,uai,92
KOR,Korea South,idv,18
KOR,Korea South,ivr,29
KOR,Korea South,ltowvs,100
KOR,Korea South,mas,39
KOR,Korea South,pdi,60
KOR,Korea South,uai,85
LAT,Latvia,idv,70
LAT,Latvia,ivr,13
LAT,Latvia,ltowvs,69
LAT,Latvia,mas,9
LAT,Latvia,pdi,44
LAT,Latvia,uai,63
LIT,Lithuania,idv,60
LIT,Lithuania,ivr,16
LIT,Lithuania,ltowvs,82
LIT,Lithuania,mas,19
LIT,Lithuania,pdi,42
LIT,Lithuania,uai,65
LUX,Luxembourg,idv,60
LUX,Luxembourg,ivr,56
LUX,Luxembourg,ltowvs,64
LUX,Luxembourg,mas,50
LUX,Luxembourg,pdi,40
LUX,Luxembourg,uai,70
MAC,Macedonia Rep,idv,40
MAC,Macedonia Rep,ivr,35
MAC,Macedonia Rep,ltowvs,62
MAC,Macedonia Rep,mas,45
MAC,Macedonia Rep,pdi,90
MAC,Macedonia Rep,uai,87
MAL,Malaysia,idv,26
MAL,Malaysia,ivr,57
MAL,Malaysia,ltowvs,41
MAL,Malaysia,mas,50
MAL,Malaysia,pdi,100
MAL,Malaysia,uai,36
MEX,Mexico,idv,30
MEX,Mexico,ivr,97
MEX,Mexico,ltowvs,24
MEX,Mexico,mas,69
MEX,Mexico,pdi,81
MEX,Mexico,uai,82
MLT,Malta,idv,59
MLT,Malta,ivr,66
MLT,Malta,ltowvs,47
MLT,Malta,mas,47
MLT,Malta,pdi,56
MLT,Malta,uai,96
MNG,Montenegro,idv,27
MNG,Montenegro,ivr,20
MNG,Montenegro,ltowvs,75
MNG,Montenegro,mas,48
MNG,Montenegro,pdi,88
MNG,Montenegro,uai,90
MOL,Moldova,idv,27
MOL,Moldova,ivr,19
MOL,Moldova,ltowvs,71
MOL,Moldova,mas,39
MOL,Moldova,pdi,90
MOL,Moldova,uai,95
MOR,Morocco,idv,46
MOR,Morocco,ivr,25
MOR,Morocco,ltowvs,14
MOR,Morocco,mas,53
MOR,Morocco,pdi,70
MOR,Morocco,uai,68
NET,Netherlands,idv,80
NET,Netherlands,ivr,68
NET,Netherlands,ltowvs,67
NET,Netherlands,mas,14
NET,Netherlands,pdi,38
NET,Netherlands,uai,53
NIG,Nigeria,idv,0
NIG,Nigeria,ivr,84
NIG,Nigeria,ltowvs,13
NIG,Nigeria,mas,60
NIG,Nigeria,pdi,80
NIG,Nigeria,uai,55
NOR,Norway,idv,69
NOR,Norway,ivr,55
NOR,Norway,ltowvs,35
NOR,Norway,mas,8
NOR,Norway,pdi,31
NOR,Norway,uai,50
NZL,New Zealand,idv,79
NZL,New Zealand,ivr,75
NZL,New Zealand,ltowvs,33
NZL,New Zealand,mas,58
NZL,New Zealand,pdi,22
NZL,New Zealand,uai,49
PAK,Pakistan,idv,14
PAK,Pakistan,ivr,0
PAK,Pakistan,ltowvs,50
PAK,Pakistan,mas,50
PAK,Pakistan,pdi,55
PAK,Pakistan,uai,70
PER,Peru,idv,16
PER,Peru,ivr,46
PER,Peru,ltowvs,25
PER,Peru,mas,42
PER,Peru,pdi,64
PER,Peru,uai,87
PHI,Philippines,idv,32
PHI,Philippines,ivr,42
PHI,Philippines,ltowvs,27
PHI,Philippines,mas,64
PHI,Philippines,pdi,94
PHI,Philippines,uai,44
POL,Poland,idv,60
POL,Poland,ivr,29
POL,Poland,ltowvs,38
POL,Poland,mas,64
POL,Poland,pdi,68
POL,Poland,uai,93
POR,Portugal,idv,27
POR,Portugal,ivr,33
POR,Portugal,ltowvs,28
POR,Portugal,mas,31
POR,Portugal,pdi,63
POR,Portugal,uai,99
PUE,Puerto Rico,idv,43
PUE,Puerto Rico,ivr,90
PUE,Puerto Rico,ltowvs,0
PUE,Puerto Rico,mas,56
PUE,Puerto Rico,pdi,68
PUE,Puerto Rico,uai,38
ROM,Romania,idv,30
ROM,Romania,ivr,20
ROM,Romania,ltowvs,52
ROM,Romania,mas,42
ROM,Romania,pdi,90
ROM,Romania,uai,90
RUS,Russia,idv,39
RUS,Russia,ivr,20
RUS,Russia,ltowvs,81
RUS,Russia,mas,36
RUS,Russia,pdi,93
RUS,Russia,uai,95
SAF,South Africa,idv,23
SAF,South Africa,ivr,63
SAF,South Africa,ltowvs,34
SAF,South Africa,mas,63
SAF,South Africa,pdi,49
SAF,South Africa,uai,49
SAL,El Salvador,idv,19
SAL,El Salvador,ivr,89
SAL,El Salvador,ltowvs,20
SAL,El Salvador,mas,40
SAL,El Salvador,pdi,66
SAL,El Salvador,uai,94
SAU,Saudi Arabia,idv,48
SAU,Saudi Arabia,ivr,52
SAU,Saudi Arabia,ltowvs,36
SAU,Saudi Arabia,mas,43
SAU,Saudi Arabia,pdi,72
SAU,Saudi Arabia,uai,64
SER,Serbia,idv,25
SER,Serbia,ivr,28
SER,Serbia,ltowvs,52
SER,Serbia,mas,43
SER,Serbia,pdi,86
SER,Serbia,uai,92
SIN,Singapore,idv,20
SIN,Singapore,ivr,46
SIN,Singapore,ltowvs,72
SIN,Singapore,mas,48
SIN,Singapore,pdi,74
SIN,Singapore,uai,8
SLK,Slovak Rep,idv,52
SLK,Slovak Rep,ivr,28
SLK,Slovak Rep,ltowvs,77
SLK,Slovak Rep,mas,100
SLK,Slovak Rep,pdi,100
SLK,Slovak Rep,uai,51
SLV,Slovenia,idv,27
SLV,Slovenia,ivr,48
SLV,Slovenia,ltowvs,49
SLV,Slovenia,mas,19
SLV,Slovenia,pdi,71
SLV,Slovenia,uai,88
SPA,Spain,idv,51
SPA,Spain,ivr,44
SPA,Spain,ltowvs,48
SPA,Spain,mas,42
SPA,Spain,pdi,57
SPA,Spain,uai,86
SWE,Sweden,idv,71
SWE,Sweden,ivr,78
SWE,Sweden,ltowvs,53
SWE,Sweden,mas,5
SWE,Sweden,pdi,31
SWE,Sweden,uai,29
SWI,Switzerland,idv,68
SWI,Switzerland,ivr,66
SWI,Switzerland,ltowvs,74
SWI,Switzerland,mas,70
SWI,Switzerland,pdi,34
SWI,Switzerland,uai,58
TAI,Taiwan,idv,17
TAI,Taiwan,ivr,49
TAI,Taiwan,ltowvs,93
TAI,Taiwan,mas,45
TAI,Taiwan,pdi,58
TAI,Taiwan,uai,69
TAN,Tanzania,idv,25
TAN,Tanzania,ivr,38
TAN,Tanzania,ltowvs,34
TAN,Tanzania,mas,40
TAN,Tanzania,pdi,70
TAN,Tanzania,uai,50
THA,Thailand,idv,20
THA,Thailand,ivr,45
THA,Thailand,ltowvs,32
THA,Thailand,mas,34
THA,Thailand,pdi,64
THA,Thailand,uai,64
TRI,Trinidad and Tobago,idv,16
TRI,Trinidad and Tobago,ivr,80
TRI,Trinidad and Tobago,ltowvs,13
TRI,Trinidad and Tobago,mas,58
TRI,Trinidad and Tobago,pdi,47
TRI,Trinidad and Tobago,uai,55
TUR,Turkey,idv,37
TUR,Turkey,ivr,49
TUR,Turkey,ltowvs,46
TUR,Turkey,mas,45
TUR,Turkey,pdi,66
TUR,Turkey,uai,85
UKR,Ukraine,idv,55
UKR,Ukraine,ivr,14
UKR,Ukraine,ltowvs,86
UKR,Ukraine,mas,27
UKR,Ukraine,pdi,92
UKR,Ukraine,uai,95
URU,Uruguay,idv,36
URU,Uruguay,ivr,53
URU,Uruguay,ltowvs,26
URU,Uruguay,mas,38
URU,Uruguay,pdi,61
URU,Uruguay,uai,98
USA,U.S.A.,idv,91
USA,U.S.A.,ivr,68
USA,U.S.A.,ltowvs,26
USA,U.S.A.,mas,62
USA,U.S.A.,pdi,40
USA,U.S.A.,uai,46
VEN,Venezuela,idv,12
VEN,Venezuela,ivr,100
VEN,Venezuela,ltowvs,16
VEN,Venezuela,mas,73
VEN,Venezuela,pdi,81
VEN,Venezuela,uai,76
VIE,Vietnam,idv,20
VIE,Vietnam,ivr,35
VIE,Vietnam,ltowvs,57
VIE,Vietnam,mas,40
VIE,Vietnam,pdi,70
VIE,Vietnam,uai,30
ZAM,Zambia,idv,35
ZAM,Zambia,ivr,42
ZAM,Zambia,ltowvs,30
ZAM,Zambia,mas,40
ZAM,Zambia,pdi,60
ZAM,Zambia,uai,50
